Males;Females
Analyze;Accentuate
Examine;Accommodate
Inspect;Acknowledge
Scrutinize;Activate
Probe;Adapt
Study;Address
Review;Advise
Assess;Align
Evaluate;Amplify
Appraise;Analyze
Dissect;Annotate
Survey;Anticipate
Investigate;Appraise
Consider;Articulate
Check;Assemble
Test;Assess
Audit;Assimilate
Explore;Attach
Research;Attune
Interpret;Balance
Automate;Blend
Mechanize;Blueprint
Computerize;Bolster
Robotize;Brainstorm
Motorize;Broaden
Streamline;Build
Systemize;Calculate
Digitize;Calibrate
Program;Capture
Instrument;Categorize
Build;Center
Construct;Chart
Assemble;Clarify
Erect;Coach
Fabricate;Coalesce
Forge;Cohere
Form;Collaborate
Create;Collect
Develop;Combine
Produce;Commune
Manufacture;Communicate
Compose;Compare
Model;Compile
Shape;Compose
Frame;Conceive
Establish;Conclude
Found;Condense
Generate;Conduct
Calculate;Connect
Compute;Consider
Reckon;Construct
Estimate;Consult
Quantify;Contextualize
Figure;Contrast
Gauge;Contribute
Measure;Converge
Calibrate;Convey
Tune;Coordinate
Adjust;Counsel
Align;Craft
Balance;Create
Normalize;Critique
Standardize;Cultivate
Coach;Curate
Train;Debate
Instruct;Deduce
Tutor;Define
Teach;Demonstrate
Guide;Depict
Mentor;Design
Prepare;Detect
Drill;Determine
Crunch;Diagnose
Process;Differentiate
Tabulate;Direct
Configure;Discern
Arrange;Discover
Set;Discuss
Organize;Distill
Structure;Draft
Consolidate;Educate
Unify;Elevate
Merge;Embellish
Combine;Embody
Integrate;Emote
Fuse;Empathize
Amalgamate;Empower
Coordinate;Enable
Synchronize;Encourage
Orchestrate;Engage
Harmonize;Enlighten
Debug;Enrich
Fix;Envision
Repair;Epitomize
Correct;Estimate
Patch;Evaluate
Clean;Evoke
Delegate;Evolve
Assign;Exemplify
Entrust;Explain
Devolve;Explore
Appoint;Express
Deploy;Extrapolate
Release;Facilitate
Launch;Figure
Rollout;Forecast
Implement;Foresee
Detect;Form
Spot;Formulate
Notice;Foster
Discover;Frame
Identify;Fuse
Sense;Generate
Recognize;Guide
Advance;Harmonize
Enhance;Hear
Improve;Highlight
Refine;Hypothesize
Evolve;Ideate
Grow;Illustrate
Expand;Imagine
Upgrade;Improvise
Encrypt;Incorporate
Encode;Indicate
Cipher;Influence
Obfuscate;Inform
Judge;Integrate
Rate;Interpret
Score;Invent
Extract;Investigate
Pull;Inspire
Draw;Iterate
Abstract;Judge
Diagnose;Lead
Trace;Learn
Inquire;Listen
Invent;Map
Originate;Mediate
Lead;Moderate
Direct;Model
Command;Motivate
Head;Navigate
Steer;Negotiate
Maintain;Note
Sustain;Observe
Preserve;Organize
Service;Originate
Support;Outline
Manage;Perceive
Administer;Perfect
Supervise;Perform
Oversee;Persuade
Run;Pilot
Advise;Pinpoint
Counsel;Plan
Inspire;Predict
Encourage;Prioritize
Energize;Propose
Pilot;Prototype
Route;Query
Optimize;Question
Perfect;Realign
Orient;Recalibrate
Aim;Recast
Plan;Reconceptualize
Design;Reconstruct
Scheme;Redefine
Map;Refine
Handle;Reflect
Treat;Reframe
Code;Reimagine
Script;Reinterpret
Resolve;Reinvent
Settle;Relate
Simulate;Render
Emulate;Represent
Systematize;Research
Order;Reshape
Trial;Review
Convert;Revise
Change;Rework
Shift;Scan
Troubleshoot;Sense
Confirm;Shape
Validate;Simulate
Backtest;Sketch
Benchmark;Speculate
Breakdown;Synthesize
Characterize;Teach
Clarify;Test
Decode;Theorize
Deduce;Translate
Derive;Unify
Differentiate;Validate
Distinguish;Value
Elucidate;Verbalize
Infer;Verify
Profile;Visualize
Substantiate;Voice
Schedule;Abbreviate
Template;Abet
Accumulate;Abide
Layer;Abound
Stack;Absorb
Project;Abstract
Forecast;Accede
Predict;Accelerate
Empower;Accept
Customize;Access
Personalize;Acclaim
Stabilize;Acclimate
Reinforce;Accompany
Facilitate;Accomplish
Outsource;Accord
Distribute;Accrete
Flag;Accrue
Trigger;Acculturate
Prototype;Accumulate
Experiment;Accurize
Protect;Accustom
Mine;Ace
Isolate;Achieve
Reinvent;Acquaint
Update;Acquire
Stimulate;Act
Scan;Add
Acclimate;Adduce
Parametrize;Adept
Brainstorm;Administer
Virtualize;Adopt
Codify;Adorn
Reengineer;Advance
Authenticate;Advert
Refactor;Advocate
Act;Affect
Adapt;Affirm
Address;Afford
Allocate;Afforest
Amend;Affix
Announce;Aggregate
Apply;Aggrandize
Approve;Agitate
Assist;Agree
Authorize;Aid
Boost;Alleviate
Brief;Allocate
Broker;Allow
Budget;Allude
Capture;Alter
Carry;Amalgamate
Catalog;Amass
Categorize;Amend
Centralize;Americanize
Chart;Anchor
Classify;Annex
Collaborate;Announce
Collect;Annunciate
Communicate;Answer
Compare;Appeal
Compile;Appease
Conclude;Apply
Conduct;Arbitrate
Connect;Architect
Conserve;Argue
Consult;Arrange
Contain;Ascend
Control;Ascertain
Convey;Ascribe
Critique;Assert
Cultivate;Assist
Decide;Associate
Decompose;Attain
Deduplicate;Attest
Define;Audit
Deliver;Augment
Demonstrate;Authenticate
Determine;Authorize
Dispatch;Avail
Document;Aver
Draft;Bargain
Drive;Batten
Edit;Bear
Eliminate;Behold
Emphasize;Bend
Enable;Bestow
Enforce;Better
Engage;Bless
Enrich;Block
Ensure;Bloom
Execute;Boost
Expedite;Borrow
Explain;Bound
Export;Brand
Express;Breed
File;Bridge
Filter;Broker
Finalize;Call
Formulate;Care
Forward;Centralize
Govern;Certify
Group;Chair
Highlight;Challenge
Incorporate;Champion
Increase;Channel
Indicate;Characterize
Influence;Check
Inform;Chisel
Initiate;Classify
Install;Cleanse
Intensify;Coax
Interview;Color
Introduce;Commence
Leverage;Commingle
Link;Commit
Modify;Compel
Monitor;Comprehend
Motivate;Compute
Navigate;Concrete
Negotiate;Confer
Notify;Confirm
Observe;Conserve
Operate;Consolidate
Outline;Contain
Overhaul;Contemplate
Package;Continue
Pinpoint;Convene
Prioritize;Convince
Promote;Correlate
Proofread;Corroborate
Propose;Customize
Provide;Debug
Question;Decide
Rank;Decipher
Rebuild;Decode
Recode;Deconstruct
Recover;Deduplicate
Redesign;Defend
Reduce;Delegate
Reflect;Deliver
Register;Deply
Regulate;Derive
Reorganize;Describe
Report;Detail
Represent;Develop
Restructure;Diagram
Revise;Dictate
Secure;Digitize
Select;Disambiguate
Separate;Disassemble
Sequence;Disburse
Simplify;Disentangle
Solve;Dissect
Sort;Distinguish
Specify;Distribute
Strengthen;Document
Submit;Drive
Summarize;Eliminate
Track;Emend
Transform;Emerge
Translate;Enact
Transmit;Encapsulate
Verify;Endorse
Visualize;Energize
Win;Engineer
Write;Enhance
Accelerate;Enlist
Achieve;Ensure
Acquire;Equalize
Advocate;Equip
Amplify;Establish
Arbitrage;Examine
Author;Excel
Capitalize;Exchange
Chair;Exclude
Conceive;Execute
Craft;Exercise
Devise;Exhibit
Envision;Expand
Mobilize;Expose
Pioneer;Extol
Reconcile;Fashion
Utilize;Feature
Anticipate;Feed
Articulate;Fertilize
Challenge;File
Conceptualize;Filter
Defer;Finalize
Disentangle;Fix
Elevate;Flag
Engender;Flash
Escalate;Flesh
Ideate;Flourish
Illuminate;Flow
Iterate;Focus
Mediate;Forge
Position;Format
Reframe;Fortify
Reshape;Forward
After;Free
Ameliorate;Freestyle
Assay;Furnish
Augment;Gage
Baby-sit;Gauge
Better;Germinate
Boss;Gestate
Call;Glean
Canvass;Govern
Captain;Grade
Case;Grasp
Chaperon;Group
Chew;Harvest
Civilize;Head
Concert;Heighten
Confab;Help
Convalesce;Herald
Criticize;Identify
Delve;Ignite
Designate;Imbue
Dig;Imitate
Disburse;Immersify
Dominate;Impart
Emend;Implement
Engineer;Impress
Eye;Imprint
Finger;Improve
Frisk;Incentivize
Go;Include
Gun;Induce
Hash;Infra-design
Help;Initiate
Hone;Innovate
Interrogate;Input
Keep;Inquire
Lift;Insert
Look;Install
Make;Institute
Manipulate;Instruct
Meliorate;Intensify
Mend;Intervene
Minister;Interview
Officiate;Invite
Parse;Invoke
Pat;Itemize
Peruse;Justify
Pick;Keep
Ply;Kindle
Polish;Label
Ponder;Leverage
Pore;Liberate
Preside;Light
Progress;Link
Prospect;List
Prove;Localize
Purify;Locate
Quarterback;Magnify
Raise;Manage
Rally;Manifest
Read;Market
Reconnoiter;Master
Rectify;Match
Recuperate;Measure
Reform;Mechanize
Rehash;Meditate
Request;Meld
Revamp;Mentor
Ride;Merge
Rule;Mimic
Scope;Mine
Screen;Minimize
Search;Mirror
Sharpen;Modernize
Shepherd;Modify
Sift;Monitor
Sit;Mould
Size;Mount
Skipper;Multiply
Skyrocket;Narrow
Spawn;Notice
Start;Normalize
Superintend;Operate
Sweep;Opt
Take;Optimize
Top;Option
Try;Oversee
Turn;Pair
Vet;Parallel
View;Paraphrase
Watch;Parse
Weigh;Participate
Wield;Patronize
Winnow;Pattern
Abbreviate;Permeate
Absolve;Permute
Accede;Peruse
Accentuate;Plant
Access;Play
Acclaim;Plot
Accommodate;Poise
Accompany;Polarize
Accomplish;Polish
Accrete;Ponder
Accurize;Port
Add;Position
Adopt;Pose
Advert;Postulate
Affect;Practice
Affirm;Prefer
Aggregate;Prepare
Agglomerate;Prescribe
Aggrandize;Present
Alleviate;Preserve
Allow;Prevail
Amass;Probe
Anchor;Process
Annex;Procure
Annotate;Produce
Answer;Profile
Appease;Program
Arbitrate;Project
Architect;Promote
Argue;Prompt
Ascertain;Proof
Assert;Propel
Assimilate;Prospect
Associate;Prove
Attain;Provide
Attest;Publicize
Bargain;Pull
Bend;Pulse
Blend;Purify
Block;Quantify
Bolster;Quicken
Borrow;Rank
Bound;Rate
Broaden;Readdress
Certify;Rebalance
Champion;Reboot
Channel;Rebrand
Cleanse;Rebuild
Coalesce;Recall
Co-align;Recenter
Co-create;Recheck
Commence;Recode
Commingle;Recombine
Commit;Record
Condense;Recover
Confer;Recreate
Consume;Rectify
Contextualize;Redesign
Continue;Rediscover
Contribute;Redistribute
Convene;Reduce
Converge;Reference
Correlate;Reform
Corroborate;Refresh
Curate;Reindex
Cycle;Reinvest
Decipher;Relay
Deconstruct;Relisten
Defend;Rely
Depict;Remake
Describe;Remap
Detail;Remedy
Dictate;Remix
Disambiguate;Remove
Disassemble;Renew
Dissolve;Renovate
Effect;Reorder
Embody;Reorganize
Emerge;Reorient
Empathize;Repair
Enact;Repeat
Engine;Replace
Enter;Report
Enumerate;Reproduce
Equalize;Request
Equip;Resolve
Excel;Respond
Exhibit;Restore
Expose;Restructure
Extrapolate;Retool
Fashion;Retrieve
Focus;Return
Format;Reveal
Fortify;Rewrite
Foster;Rotate
Function;Route
Grade;Rule
Grasp;Sample
Harvest;Sanitize
Heighten;Schedule
Hypothesize;Scope
Illustrate;Scrutinize
Imitate;Search
Imply;Select
Incentivize;Separate
Incubate;Sequence
Index;Serve
Induce;Settle
Infra-engineer;Share
Innovate;Sharpen
Input;Shift
Intervene;Show
Invalidate;Simplify
Inventory;Sculpt
Invoke;Signal
Itemize;Simmer
Justify;Siphon
Learn;Slant
List;Solidify
Localize;Solve
Manifest;Sort
Market;Spark
Master;Specify
Match;Splice
Minimize;Sponsor
Moderate;Spot
Modernize;Spearhead
Mount;Stabilize
Multiply;Standardize
Note;Start
Option;Steer
Parallelize;Stimulate
Participate;Stitch
Patrol;Strategize
Pattern;Streamline
Peer-review;Strengthen
Perceive;Structure
Perform;Study
Proof;Substantiate
Query;Suggest
Quit;Summarize
Reboot;Supply
Recall;Support
Recast;Survey
Recenter;Sustain
Recheck;Synergize
Recombine;Synchronize
Reconstruct;Tabulate
Record;Tailor
Recreate;Target
Redeem;Think
Redistribute;Thrive
Reference;Tone
Refresh;Transform
Refurbish;Transmit
Reiterate;Treasure
Reindex;Triangulate
Reinstall;Trigger
Reinvest;Tune
Reject;Tutor
Relate;Typeset
Relearn;Uncover
Remake;Understand
Remap;Unpack
Remedy;Update
Remix;Upgrade
Remove;Upscale
Render;Use
Renew;Venture
Reorder;Vet
Repeat;View
Replace;Weave
Reproduce;Weigh
Respond;Witness
Restore;Wire
Retool;Word
Retrieve;Work
Return;Write
Revalidate;Accredit
Revitalize;Apportion
Rework;Approximate
Rewrite;Augur
Sample;Blendify
Sanitize;Codify
Scrub;Collocate
Serve;Concur
Skip;Crosscheck
Smooth;Decenter
Supply;Derationalize
Synergize;Disclose
Synthesize;Elucidate
Tailor;Embolden
Target;Exposit
Triage;Foretell
Understand;Inflect
Unpack;Instigate
Value;Modulate
Widen;Revalidate
Work;Subdivide
